8_uniform_01	8_uniform_02	8_uniform_03	8_big_and_small_01	8_big_and_small_02	8_big_and_small_03	8_small_01	8_small_02	8_small_03	8_small_04	5_uniform_01	5_uniform_02	5_uniform_03	5_big_and_small_01	5_big_and_small_02	5_big_and_small_03	5_small_01	5_small_02	5_small_03	5_small_04
8	8	8	8	8	8	8	8	8	8	4	5	5	5	5	5	5	5	5	5
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
8	8	8	8	8	8	5	5	5	5	8	7	8	7	8	9	5	4	5	5
8	7	8	7	7	7	5	5	5	5	5	6	6	6	7	6	4	3	4	5
4	5	6	7	7	6	3	4	4	4	4	4	6	3	4	3	4	2	2	5
3	3	5	7	6	6	3	4	4	3	3	4	4	3	3	3	3	2	2	4
3	3	5	4	4	3	3	3	4	3	2	2	2	3	2	1	3	2	2	2
3	3	5	4	4	3	3	2	3	2										
2	2	3	3	2	3	2	2	3	2										
2	2	3	2	2	2	2	2	3	2										
